,begin,end,let,;,=,idf,num,+,-,*,/,(,),while,:,ewhile,~,<,<=,>,>=,if,eif,else,eelse,>>,<<,$,PROG,BODY,INSTRUCTIONS,VARDCLR,STOP,EXPR,X,T,Z,F,AFF,WHILE,COND,OPR,OPRD,IF,IN,OUT,IDF,NUM
46, , , ,r13, , , , , , , , ,r13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
47, , , , , ,s36,s37, , , , ,s35, , , , , , , , , , , , , , , , , , , , , , , ,63, ,34, , , , , , , , , , 
48, , , , , ,s36,s37, , , , ,s35, , , , , , , , , , , , , , , , , , , , , , , ,64, ,34, , , , , , , , , , 
49, , , ,r17, , , ,r17,r17, , , ,r17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
50, , , , , ,s36,s37, , , , ,s35, , , , , , , , , , , , , , , , , , , , , , , , , ,65, , , , , , , , , , 
51, , , , , ,s36,s37, , , , ,s35, , , , , , , , , , , , , , , , , , , , , , , , , ,66, , , , , , , , , , 
52, , , , , , , , , , , , ,s67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
53, , , , , , , , , , , , , , ,s68, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
54, , , , , ,s16,s28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,69, , , ,26,27
55, , , , , ,r27,r27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
56, , , , , ,r28,r28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
57, , , , , ,r29,r29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
58, , , , , ,r30,r30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
59, , , , , ,r31,r31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60, , , , , , , , , , , , , , ,s70, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
61, ,r11,r11, , ,r11, , , , , , , ,r11, ,r11, , , , , ,r11,r11, ,r11,r11,r11, , , , , , , , , , , , , , , , , , , , , 
62, ,r12,r12, , ,r12, , , , , , , ,r12, ,r12, , , , , ,r12,r12, ,r12,r12,r12, , , , , , , , , , , , , , , , , , , , , 
63, , , ,r16, , , ,s47,s48, , , ,r16, , , , , , , , , , , , , , , , , , , , , ,71, , , , , , , , , , , , , 
64, , , ,r16, , , ,s47,s48, , , ,r16, , , , , , , , , , , , , , , , , , , , , ,72, , , , , , , , , , , , , 
65, , , ,r20, , , ,r20,r20,s50,s51, ,r20, , , , , , , , , , , , , , , , , , , , , , , ,73, , , , , , , , , , , 
66, , , ,r20, , , ,r20,r20,s50,s51, ,r20, , , , , , , , , , , , , , , , , , , , , , , ,74, , , , , , , , , , , 
67, , , ,r21, , , ,r21,r21,r21,r21, ,r21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
68, , ,s5, , ,s16, , , , , , , ,s12, ,r3, , , , , ,s13, , , ,s14,s15, , ,75,4,3, , , , , , ,6,7, , , ,8,9,10,11, 
69, , , , , , , , , , , , ,r26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
70, , ,s5, , ,s16, , , , , , , ,s12, , , , , , , ,s13,r3, , ,s14,s15, , ,76,4,3, , , , , , ,6,7, , , ,8,9,10,11, 
71, , , ,r14, , , , , , , , ,r14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
72, , , ,r15, , , , , , , , ,r15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73, , , ,r18, , , ,r18,r18, , , ,r18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
74, , , ,r19, , , ,r19,r19, , , ,r19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
75, , , , , , , , , , , , , , , ,s77, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
76, , , , , , , , , , , , , , , , , , , , , , ,s78, , , , , , , , , , , , , , , , , , , , , , , , , 
77, ,r25,r25, , ,r25, , , , , , , ,r25, ,r25, , , , , ,r25,r25, ,r25,r25,r25, , , , , , , , , , , , , , , , , , , , , 
78, ,r35,r35, , ,r35, , , , , , , ,r35, ,r35, , , , , ,r35,r35,s79,r35,r35,r35, , , , , , , , , , , , , , , , , , , , , 
79, , , , , , , , , , , , , , ,s80, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
80, , ,s5, , ,s16, , , , , , , ,s12, , , , , , , ,s13, , ,r3,s14,s15, , ,81,4,3, , , , , , ,6,7, , , ,8,9,10,11, 
81, , , , , , , , , , , , , , , , , , , , , , , , ,s82, , , , , , , , , , , , , , , , , , , , , , , 
82, ,r34,r34, , ,r34, , , , , , , ,r34, ,r34, , , , , ,r34,r34, ,r34,r34,r34, , , , , , , , , , , , , , , , , , , , , 

